,Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Murders,1,3,0,2,1,1,3,0,1,2,2,1,1,0
1,Rapes,19,28,34,25,22,26,43,32,43,35,40,37,26,11
2,Robberies,22,21,23,35,28,24,27,21,26,24,36,18,20,4
3,Assaults,187,220,206,184,183,211,182,152,186,126,165,115,107,66
4,Burglaries,432,468,417,589,503,503,437,381,261,431,429,360,260,79
5,Thefts,1,1,1,2,2,1,1,1,1,1,1,1,978,415
6,Auto thefts,104,89,80,106,129,123,134,86,113,133,140,122,61,22
7,Arson,32,37,36,23,22,21,17,17,8,10,17,16,11,6
8,City-Data.co,420,470,425,496,460,457,463,348,402,385,428,351,278,117
0,Murders,20,23,35,25,27,15,28,25,28,0,0,0,0,0
1,Rapes,91,59,80,62,95,85,83,233,264,0,0,0,0,0
2,Robberies,489,229,318,289,291,277,238,254,304,0,0,0,0,0
3,Assaults,549,386,507,447,534,500,382,548,567,0,0,0,0,0
4,Burglaries,2,1,1,1,1,1,1,1,1,0,0,0,0,0
5,Thefts,5,3,4,4,4,4,4,4,4,0,0,0,0,0
6,Auto thefts,2,1,1,1,1,1,1,956,989,0,0,0,0,0
7,Arson,0,0,0,0,0,69,56,61,77,0,0,0,0,0
8,City-Data.co,632,406,521,471,507,464,440,538,553,0,0,0,0,0
0,Murders,0,4,0,0,0,0,3,1,0,0,0,0,0,0
1,Rapes,48,41,62,42,38,53,55,25,0,0,0,0,0,0
2,Robberies,63,78,76,62,37,53,75,27,0,0,0,0,0,0
3,Assaults,299,291,293,315,271,269,216,158,0,0,0,0,0,0
4,Burglaries,550,800,683,527,505,607,494,209,0,0,0,0,0,0
5,Thefts,4,3,3,3,3,3,2,1,0,0,0,0,0,0
6,Auto thefts,196,199,156,157,194,203,174,99,0,0,0,0,0,0
7,Arson,23,26,20,21,14,26,19,12,0,0,0,0,0,0
8,City-Data.co,381,375,365,333,308,335,314,162,0,0,0,0,0,0
0,Murders,0,0,0,1,1,1,0,2,0,0,1,0,0,0
1,Rapes,7,12,12,9,12,9,9,8,7,9,18,13,17,12
2,Robberies,14,10,21,12,12,6,11,6,11,7,9,12,4,11
3,Assaults,68,64,56,44,44,43,38,40,56,55,63,84,66,80
4,Burglaries,196,182,122,158,113,95,106,84,97,92,145,100,69,99
5,Thefts,1,951,838,756,867,777,716,638,679,740,698,672,606,646
6,Auto thefts,156,104,69,85,106,97,76,92,113,95,99,79,86,158
7,Arson,14,12,5,4,8,14,1,1,3,1,1,2,0,3
8,City-Data.co,199,182,156,144,154,132,121,115,121,119,144,130,113,131
0,,1,3,0,2,1,1,3,0,1,2,2,1,1,0
1,,19,28,34,25,22,26,43,32,43,35,40,37,26,11
2,,22,21,23,35,28,24,27,21,26,24,36,18,20,4
3,,187,220,206,184,183,211,182,152,186,126,165,115,107,66
4,,432,468,417,589,503,503,437,381,261,431,429,360,260,79
5,,1,1,1,2,2,1,1,1,1,1,1,1,978,415
6,,104,89,80,106,129,123,134,86,113,133,140,122,61,22
7,,32,37,36,23,22,21,17,17,8,10,17,16,11,6
8,,420,470,425,496,460,457,463,348,402,385,428,351,278,117
9,,20,23,35,25,27,15,28,25,28,0,0,0,0,0
10,,91,59,80,62,95,85,83,233,264,0,0,0,0,0
11,,489,229,318,289,291,277,238,254,304,0,0,0,0,0
12,,549,386,507,447,534,500,382,548,567,0,0,0,0,0
13,,2,1,1,1,1,1,1,1,1,0,0,0,0,0
14,,5,3,4,4,4,4,4,4,4,0,0,0,0,0
15,,2,1,1,1,1,1,1,956,989,0,0,0,0,0
16,,0,0,0,0,0,69,56,61,77,0,0,0,0,0
17,,632,406,521,471,507,464,440,538,553,0,0,0,0,0
18,,0,4,0,0,0,0,3,1,0,0,0,0,0,0
19,,48,41,62,42,38,53,55,25,0,0,0,0,0,0
20,,63,78,76,62,37,53,75,27,0,0,0,0,0,0
21,,299,291,293,315,271,269,216,158,0,0,0,0,0,0
22,,550,800,683,527,505,607,494,209,0,0,0,0,0,0
23,,4,3,3,3,3,3,2,1,0,0,0,0,0,0
24,,196,199,156,157,194,203,174,99,0,0,0,0,0,0
25,,23,26,20,21,14,26,19,12,0,0,0,0,0,0
26,,381,375,365,333,308,335,314,162,0,0,0,0,0,0
27,,0,0,0,1,1,1,0,2,0,0,1,0,0,0
28,,7,12,12,9,12,9,9,8,7,9,18,13,17,12
29,,14,10,21,12,12,6,11,6,11,7,9,12,4,11
30,,68,64,56,44,44,43,38,40,56,55,63,84,66,80
31,,196,182,122,158,113,95,106,84,97,92,145,100,69,99
32,,1,951,838,756,867,777,716,638,679,740,698,672,606,646
33,,156,104,69,85,106,97,76,92,113,95,99,79,86,158
34,,14,12,5,4,8,14,1,1,3,1,1,2,0,3
35,,199,182,156,144,154,132,121,115,121,119,144,130,113,131
36,,1,3,0,2,1,1,3,0,1,2,2,1,1,0
37,,19,28,34,25,22,26,43,32,43,35,40,37,26,11
38,,22,21,23,35,28,24,27,21,26,24,36,18,20,4
39,,187,220,206,184,183,211,182,152,186,126,165,115,107,66
40,,432,468,417,589,503,503,437,381,261,431,429,360,260,79
41,,1,1,1,2,2,1,1,1,1,1,1,1,978,415
42,,104,89,80,106,129,123,134,86,113,133,140,122,61,22
43,,32,37,36,23,22,21,17,17,8,10,17,16,11,6
44,,420,470,425,496,460,457,463,348,402,385,428,351,278,117
45,,20,23,35,25,27,15,28,25,28,0,0,0,0,0
46,,91,59,80,62,95,85,83,233,264,0,0,0,0,0
47,,489,229,318,289,291,277,238,254,304,0,0,0,0,0
48,,549,386,507,447,534,500,382,548,567,0,0,0,0,0
49,,2,1,1,1,1,1,1,1,1,0,0,0,0,0
50,,5,3,4,4,4,4,4,4,4,0,0,0,0,0
51,,2,1,1,1,1,1,1,956,989,0,0,0,0,0
52,,0,0,0,0,0,69,56,61,77,0,0,0,0,0
53,,632,406,521,471,507,464,440,538,553,0,0,0,0,0
54,,0,4,0,0,0,0,3,1,0,0,0,0,0,0
55,,48,41,62,42,38,53,55,25,0,0,0,0,0,0
56,,63,78,76,62,37,53,75,27,0,0,0,0,0,0
57,,299,291,293,315,271,269,216,158,0,0,0,0,0,0
58,,550,800,683,527,505,607,494,209,0,0,0,0,0,0
59,,4,3,3,3,3,3,2,1,0,0,0,0,0,0
60,,196,199,156,157,194,203,174,99,0,0,0,0,0,0
61,,23,26,20,21,14,26,19,12,0,0,0,0,0,0
62,,381,375,365,333,308,335,314,162,0,0,0,0,0,0
63,,0,0,0,1,1,1,0,2,0,0,1,0,0,0
64,,7,12,12,9,12,9,9,8,7,9,18,13,17,12
65,,14,10,21,12,12,6,11,6,11,7,9,12,4,11
66,,68,64,56,44,44,43,38,40,56,55,63,84,66,80
67,,196,182,122,158,113,95,106,84,97,92,145,100,69,99
68,,1,951,838,756,867,777,716,638,679,740,698,672,606,646
69,,156,104,69,85,106,97,76,92,113,95,99,79,86,158
70,,14,12,5,4,8,14,1,1,3,1,1,2,0,3
71,,199,182,156,144,154,132,121,115,121,119,144,130,113,131
72,,1,3,0,2,1,1,3,0,1,2,2,1,1,0
73,,19,28,34,25,22,26,43,32,43,35,40,37,26,11
74,,22,21,23,35,28,24,27,21,26,24,36,18,20,4
75,,187,220,206,184,183,211,182,152,186,126,165,115,107,66
76,,432,468,417,589,503,503,437,381,261,431,429,360,260,79
77,,1,1,1,2,2,1,1,1,1,1,1,1,978,415
78,,104,89,80,106,129,123,134,86,113,133,140,122,61,22
79,,32,37,36,23,22,21,17,17,8,10,17,16,11,6
80,,420,470,425,496,460,457,463,348,402,385,428,351,278,117
81,,20,23,35,25,27,15,28,25,28,0,0,0,0,0
82,,91,59,80,62,95,85,83,233,264,0,0,0,0,0
83,,489,229,318,289,291,277,238,254,304,0,0,0,0,0
84,,549,386,507,447,534,500,382,548,567,0,0,0,0,0
85,,2,1,1,1,1,1,1,1,1,0,0,0,0,0
86,,5,3,4,4,4,4,4,4,4,0,0,0,0,0
87,,2,1,1,1,1,1,1,956,989,0,0,0,0,0
88,,0,0,0,0,0,69,56,61,77,0,0,0,0,0
89,,632,406,521,471,507,464,440,538,553,0,0,0,0,0
90,,0,4,0,0,0,0,3,1,0,0,0,0,0,0
91,,48,41,62,42,38,53,55,25,0,0,0,0,0,0
92,,63,78,76,62,37,53,75,27,0,0,0,0,0,0
93,,299,291,293,315,271,269,216,158,0,0,0,0,0,0
94,,550,800,683,527,505,607,494,209,0,0,0,0,0,0
95,,4,3,3,3,3,3,2,1,0,0,0,0,0,0
96,,196,199,156,157,194,203,174,99,0,0,0,0,0,0
97,,23,26,20,21,14,26,19,12,0,0,0,0,0,0
98,,381,375,365,333,308,335,314,162,0,0,0,0,0,0
99,,0,0,0,1,1,1,0,2,0,0,1,0,0,0
100,,7,12,12,9,12,9,9,8,7,9,18,13,17,12
101,,14,10,21,12,12,6,11,6,11,7,9,12,4,11
102,,68,64,56,44,44,43,38,40,56,55,63,84,66,80
103,,196,182,122,158,113,95,106,84,97,92,145,100,69,99
104,,1,951,838,756,867,777,716,638,679,740,698,672,606,646
105,,156,104,69,85,106,97,76,92,113,95,99,79,86,158
106,,14,12,5,4,8,14,1,1,3,1,1,2,0,3
107,,199,182,156,144,154,132,121,115,121,119,144,130,113,131
108,,1,3,0,2,1,1,3,0,1,2,2,1,1,0
109,,19,28,34,25,22,26,43,32,43,35,40,37,26,11
